"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Pseudosuchia&pres=regular&interval=Late%20Triassic,Early%20Jurassic&private&pgm=gplates,scotese,seton&show=full"
"Access Time","Wed 2024-08-07 08:53:10 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Pseudosuchia"
"","pgm","gplates,scotese,seton"
"","interval","Late Triassic,Early Jurassic"
"","timerule","major"
"","taxon_status","all"
"","pres","regular"
"","show","full"
"","private","1"
"Elapsed Time","0.303"
"Records Found","1315"
"Records Returned","1315"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","permissions","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","paleomodel2","geoplate2","paleoage2","paleolng2","paleolat2","paleomodel3","geoplate3","paleoage3","paleolng3","paleolat3","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement"
"780861","occ","","","84064","","n. gen. Plateotetrapodiscus n. sp. rugosus","species","133398","recombined as","Batrachopus rugosus","","species","133398","Hettangian","Sinemurian","201.4","192.9","Ellenberger","1970","28154","Chordata","Reptilia","NO_ORDER_SPECIFIED","Batrachopodidae","Batrachopus","","","","","27.516666","-30.400000","","Masitise tracksite (zone B/2)","","Masitisi","LS","Quthing","","stated in text","minutes","small collection","from near Masitise (= Masitisi), Quthing district, between Alwynskop and Moyeni; Palmietfontein map","gplates","701","mid","14.80","-44.36","scotese","701","mid","-1.78","-43.74","seton","701","mid","-5.55","-52.91","LS","","Elliot","Stormberg","Upper","bed","","","","","","","","","","Upper Elliot Fm., zone B/2= ""Transition Beds II""","","sandstone","red","","","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","mold/impression,trace","medium","autochthonous","snapshot","","concentrated","life position","","","","","","","taxonomic","surface (in situ),observed (not collected)","","","","","P. Ellenberger","","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"780862","occ","","","84064","","n. gen. Nanopodiscus n. sp. tenuis","species","133396","recombined as","Batrachopus tenuis","","species","133396","Hettangian","Sinemurian","201.4","192.9","Ellenberger","1970","28154","Chordata","Reptilia","NO_ORDER_SPECIFIED","Batrachopodidae","Batrachopus","","","","","27.516666","-30.400000","","Masitise tracksite (zone B/2)","","Masitisi","LS","Quthing","","stated in text","minutes","small collection","from near Masitise (= Masitisi), Quthing district, between Alwynskop and Moyeni; Palmietfontein map","gplates","701","mid","14.80","-44.36","scotese","701","mid","-1.78","-43.74","seton","701","mid","-5.55","-52.91","LS","","Elliot","Stormberg","Upper","bed","","","","","","","","","","Upper Elliot Fm., zone B/2= ""Transition Beds II""","","sandstone","red","","","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","mold/impression,trace","medium","autochthonous","snapshot","","concentrated","life position","","","","","","","taxonomic","surface (in situ),observed (not collected)","","","","","P. Ellenberger","","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"781139","occ","","","84111","","Batrachopus sp.","genus","67448","","Batrachopus","","genus","67448","Norian","","227","208.5","Silvestri and Szajna","1993","28162","Chordata","Reptilia","NO_ORDER_SPECIFIED","Batrachopodidae","Batrachopus","","","","","-75.727936","40.263302","","Douglassville tracksite","","","US","Pennsylvania","Berks","based on nearby landmark","6","outcrop","at intersection of creek and tributary near Lake Drive Park, Douglassville, in the Jacksonwald syncline","gplates","101","mid","-9.84","13.70","scotese","101","mid","-20.79","14.75","seton","not computable using this model","","","","US","","Passaic","Chatham","","group of beds","","","","","","","","","","two footprint-bearing beds","""bedded, oscillatory-rippled siltstones and very fine-grained sandstones with claystone partings""","siltstone","wave ripples","","","Y","sandstone","very fine","","","Y","lacustrine indet.","","","macrofossils","","","","","","","","mold/impression,trace","good","autochthonous","","","","life position","","","","","","","biostratigraphic","surface (in situ),field collection,observed (not collected)","","","","","S. Silvestri","","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"781154","occ","","","62768","","Batrachopus sp.","genus","67448","","Batrachopus","","genus","67448","Rhaetian","","208.5","201.4","Silvestri and Szajna","1993","28162","Chordata","Reptilia","NO_ORDER_SPECIFIED","Batrachopodidae","Batrachopus","","","","","-75.862228","40.273548","","Exeter Golf Course Estates tracksite","","Exeter Village","US","Pennsylvania","Berks","estimated from map","6","small collection","between Jacksonwald and Birdsboro, SW corner of Newark Basin","gplates","101","mid","-11.63","16.05","scotese","101","mid","-22.97","18.99","seton","not computable using this model","","","","US","","Passaic","Chatham","TT/Pine Ridge","member","","Jacksonwald","2350","m","bottom to top","","","","","early Rhaetian","""brown and reddish-brown siltstone""","siltstone","brown,red","","","Y","","","","","","lacustrine indet.","","""mudflat environment exposed by receding lake waters""","macrofossils","","","","","","","","mold/impression,trace","good","autochthonous","","","","life position","","","","","","","biostratigraphic","surface (float),surface (in situ),field collection,observed (not collected)","","","","","","","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"782162","occ","","","84264","","Rutiodon adamanensis","species","366671","recombined as","Smilosuchus adamanensis","","species","69057","Norian","","227","208.5","Murry and Long","1989","12930","Chordata","Reptilia","NO_ORDER_SPECIFIED","Parasuchidae","Smilosuchus","","","3","individuals","-109.763885","34.946667","UCMP 27070, good skull material representing at least three individuals, some postcranial elememnts. Number of other specimens listed with same number","Crocodile Hill locality (SMU Loc. 230, PFV 124)","","Petrified Forest, Crocodile Hill Quarry, Blue Mesa","US","Arizona","Navajo","stated in text","seconds","small collection","Crocodile Hill locality, Blue Mesa, Petrified Forest National Monument.  1200 ft (366 m) NNW of Dying Grounds knoll, Sec 23, T18N, R24E","gplates","101","mid","-37.59","10.43","scotese","133","mid","-52.39","10.50","seton","not computable using this model","","","","US","NPS","Chinle","","Blue Mesa","bed","","","","","","","","","","""A greenish-gray mudstone in the upper portion ofthe Blue Mesa Member of the Chinle Formation(sensu Woody 2006) (Unit 14 of the Blue Mesa Member [Petrified Forest Formation, Chinle Group] type section of Lucas 1993). This horizon is situated approximately 14 meters above the Newspaper Rock Bed and approximately 9 meters below the base of the overlying Sonsela Member. Palynomorphs recovered from this horizon are considered to be latest Carnian in age, but recent recalibration of the Triassic timescale based on magnetostratigraphy and a new radiometric date from European marine sections suggest that most of the Chinle Formation, including this horizon, may be Norian in age.""","""silty mudstone...color varies from light gray (2.5 Y N7) to gray (2.5 Y N5-N7); fossil horizon 0.04 meter thick muddy siltstone with rip-up clasts; minor red chert; some organics; grades upward into clay pebble laminae""","siltstone","intraclastic,gray","","argillaceous,cherty/siliceous","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","selective quarrying,field collection","UCMP","","","","C. L. Camp, P. A. Murry","1923, 1980s","","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"782166","occ","","","84264","","Stagonolepis wellesi","species","69073","recombined as","Calyptosuchus wellesi","","species","69072","Norian","","227","208.5","Murry and Long","1989","12930","Chordata","Reptilia","NO_ORDER_SPECIFIED","Stagonolepididae","Calyptosuchus","","","1","specimens","-109.763885","34.946667","UCMP fragments of paramedian scute","Crocodile Hill locality (SMU Loc. 230, PFV 124)","","Petrified Forest, Crocodile Hill Quarry, Blue Mesa","US","Arizona","Navajo","stated in text","seconds","small collection","Crocodile Hill locality, Blue Mesa, Petrified Forest National Monument.  1200 ft (366 m) NNW of Dying Grounds knoll, Sec 23, T18N, R24E","gplates","101","mid","-37.59","10.43","scotese","133","mid","-52.39","10.50","seton","not computable using this model","","","","US","NPS","Chinle","","Blue Mesa","bed","","","","","","","","","","""A greenish-gray mudstone in the upper portion ofthe Blue Mesa Member of the Chinle Formation(sensu Woody 2006) (Unit 14 of the Blue Mesa Member [Petrified Forest Formation, Chinle Group] type section of Lucas 1993). This horizon is situated approximately 14 meters above the Newspaper Rock Bed and approximately 9 meters below the base of the overlying Sonsela Member. Palynomorphs recovered from this horizon are considered to be latest Carnian in age, but recent recalibration of the Triassic timescale based on magnetostratigraphy and a new radiometric date from European marine sections suggest that most of the Chinle Formation, including this horizon, may be Norian in age.""","""silty mudstone...color varies from light gray (2.5 Y N7) to gray (2.5 Y N5-N7); fossil horizon 0.04 meter thick muddy siltstone with rip-up clasts; minor red chert; some organics; grades upward into clay pebble laminae""","siltstone","intraclastic,gray","","argillaceous,cherty/siliceous","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","selective quarrying,field collection","UCMP","","","","C. L. Camp, P. A. Murry","1923, 1980s","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"782168","occ","","","84265","","Rutiodon sp.","genus","38299","","Rutiodon","","genus","38299","Norian","","227","208.5","Murry and Long","1989","12930","Chordata","Reptilia","NO_ORDER_SPECIFIED","Parasuchidae","Rutiodon","","","","","-109.783058","34.863609","","Crystal Forest locality (SMU Loc. 233)","","Petrified Forest, PEFO","US","Arizona","Navajo","stated in text","seconds","small collection","Petrified Forest National Monument; Sec 22, T17N, R24E, E of Crystal Forest Nature Trail, 3.75 km SSE of the ""Sonsela Section"" N of Agate Bridge on park road.","gplates","101","mid","-37.62","10.35","scotese","133","mid","-52.42","10.42","seton","not computable using this model","","","","US","NPS","Chinle","","Sonsela","bed","","","","","","","","","","","""siltstone (poorly sorted; noncalcareous; with gypsum laminae and chert grains from medium sand up to 5 mm; light olive gray 5 & 6/2) grading laterally into muddy siltstone (fossiliferous; dark gray 5 YR 4/1 with white mottles 2.5 Y N8)""","siltstone","medium,gypsiferous,gray,green","","cherty/siliceous","Y","siltstone","gray,white","","argillaceous","Y","fluvial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","field collection","","","","","P. A. Murry","","","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"782169","occ","32883","","84265","","Paratypothorax sp.","genus","64939","","Paratypothorax","","genus","64939","Norian","","227","208.5","Parker","2016","60774","Chordata","Reptilia","NO_ORDER_SPECIFIED","Stagonolepididae","Paratypothorax","","","1","individuals","-109.783058","34.863609","","Crystal Forest locality (SMU Loc. 233)","","Petrified Forest, PEFO","US","Arizona","Navajo","stated in text","seconds","small collection","Petrified Forest National Monument; Sec 22, T17N, R24E, E of Crystal Forest Nature Trail, 3.75 km SSE of the ""Sonsela Section"" N of Agate Bridge on park road.","gplates","101","mid","-37.62","10.35","scotese","133","mid","-52.42","10.42","seton","not computable using this model","","","","US","NPS","Chinle","","Sonsela","bed","","","","","","","","","","","""siltstone (poorly sorted; noncalcareous; with gypsum laminae and chert grains from medium sand up to 5 mm; light olive gray 5 & 6/2) grading laterally into muddy siltstone (fossiliferous; dark gray 5 YR 4/1 with white mottles 2.5 Y N8)""","siltstone","medium,gypsiferous,gray,green","","cherty/siliceous","Y","siltstone","gray,white","","argillaceous","Y","fluvial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","field collection","","","","","P. A. Murry","","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"782170","occ","","","84265","","Desmatosuchus haplocerus","species","159296","misspelling of, nomen dubium","Aetosauria","","unranked clade","38267","Norian","","227","208.5","Murry and Long","1989","12930","Chordata","Reptilia","","","","","","","","-109.783058","34.863609","","Crystal Forest locality (SMU Loc. 233)","","Petrified Forest, PEFO","US","Arizona","Navajo","stated in text","seconds","small collection","Petrified Forest National Monument; Sec 22, T17N, R24E, E of Crystal Forest Nature Trail, 3.75 km SSE of the ""Sonsela Section"" N of Agate Bridge on park road.","gplates","101","mid","-37.62","10.35","scotese","133","mid","-52.42","10.42","seton","not computable using this model","","","","US","NPS","Chinle","","Sonsela","bed","","","","","","","","","","","""siltstone (poorly sorted; noncalcareous; with gypsum laminae and chert grains from medium sand up to 5 mm; light olive gray 5 & 6/2) grading laterally into muddy siltstone (fossiliferous; dark gray 5 YR 4/1 with white mottles 2.5 Y N8)""","siltstone","medium,gypsiferous,gray,green","","cherty/siliceous","Y","siltstone","gray,white","","argillaceous","Y","fluvial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","field collection","","","","","P. A. Murry","","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"782173","occ","","","84266","","Rutiodon sp.","genus","38299","","Rutiodon","","genus","38299","Norian","","227","208.5","Murry and Long","1989","12930","Chordata","Reptilia","NO_ORDER_SPECIFIED","Parasuchidae","Rutiodon","","","","","-109.813332","34.830555","""group B""","Flattops locality (SMU Loc. 231)","","Petrified Forest, PEFO","US","Arizona","Navajo","stated in text","seconds","small collection","Flattops area, Petrified Forest National Monument.  Sec 32, T17N, R24E","gplates","101","mid","-37.65","10.32","scotese","133","mid","-52.45","10.39","seton","not computable using this model","","","","US","NPS","Chinle","","Petrified Forest","group of beds","","","","","","","","","","below ""flattops sandstone number two""; 2 thin fossiliferous horizons","""discontinuous silty limestones in which the fossiliferous layers contain a variety of evaporite minerals""","""limestone""","","","silty","Y","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body,replaced with other","","","","","","","","","","","","bones preserved as ""bone turquoise"", ""probably consists of the mineral vivianite, an octahedral iron phosphate often confused with true turquoise.""","general faunal/floral","field collection","","","","","P. A. Murry","","","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"782174","occ","","","84266","","Typothorax coccinarum","species","64940","","Typothorax coccinarum","","species","64940","Norian","","227","208.5","Murry and Long","1989","12930","Chordata","Reptilia","NO_ORDER_SPECIFIED","Stagonolepididae","Typothorax","","","","","-109.813332","34.830555","","Flattops locality (SMU Loc. 231)","","Petrified Forest, PEFO","US","Arizona","Navajo","stated in text","seconds","small collection","Flattops area, Petrified Forest National Monument.  Sec 32, T17N, R24E","gplates","101","mid","-37.65","10.32","scotese","133","mid","-52.45","10.39","seton","not computable using this model","","","","US","NPS","Chinle","","Petrified Forest","group of beds","","","","","","","","","","below ""flattops sandstone number two""; 2 thin fossiliferous horizons","""discontinuous silty limestones in which the fossiliferous layers contain a variety of evaporite minerals""","""limestone""","","","silty","Y","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body,replaced with other","","","","","","","","","","","","bones preserved as ""bone turquoise"", ""probably consists of the mineral vivianite, an octahedral iron phosphate often confused with true turquoise.""","general faunal/floral","field collection","","","","","P. A. Murry","","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"782175","occ","","","84266","","Paratypothorax sp.","genus","64939","","Paratypothorax","","genus","64939","Norian","","227","208.5","Murry and Long","1989","12930","Chordata","Reptilia","NO_ORDER_SPECIFIED","Stagonolepididae","Paratypothorax","","","","","-109.813332","34.830555","","Flattops locality (SMU Loc. 231)","","Petrified Forest, PEFO","US","Arizona","Navajo","stated in text","seconds","small collection","Flattops area, Petrified Forest National Monument.  Sec 32, T17N, R24E","gplates","101","mid","-37.65","10.32","scotese","133","mid","-52.45","10.39","seton","not computable using this model","","","","US","NPS","Chinle","","Petrified Forest","group of beds","","","","","","","","","","below ""flattops sandstone number two""; 2 thin fossiliferous horizons","""discontinuous silty limestones in which the fossiliferous layers contain a variety of evaporite minerals""","""limestone""","","","silty","Y","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body,replaced with other","","","","","","","","","","","","bones preserved as ""bone turquoise"", ""probably consists of the mineral vivianite, an octahedral iron phosphate often confused with true turquoise.""","general faunal/floral","field collection","","","","","P. A. Murry","","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"782179","occ","","","84268","","Rutiodon sp.","genus","38299","","Rutiodon","","genus","38299","Norian","","227","208.5","Murry and Long","1989","12930","Chordata","Reptilia","NO_ORDER_SPECIFIED","Parasuchidae","Rutiodon","","","","","-109.808060","34.884724","","Jasper Forest Locality (SMU Loc. 232)","","","US","Arizona","Navajo","stated in text","seconds","small collection","Sec 8, T17N, R24E","gplates","101","mid","-37.63","10.38","scotese","133","mid","-52.44","10.44","seton","not computable using this model","","","","US","NPS","Chinle","","","bed","","","","","","","","","","approx. 15 ft (4.6 m) below base of Sonsela Mb.","""sandstone (lithic wacke; fine to coarse grained; poorly to well-lithified; poorly sorted; minor rose quartz, jasper and black chert); bones 'rotted', many in hematite concretions; dark gray 2.5 Y N4 to olive yellow 2.5 Y 5/6""","wackestone","fine,coarse,concretionary,hematitic,gray,green","lithified","cherty/siliceous","Y","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body,concretion","","","","","","","","","","","","","taxonomic","field collection","","","","","P. A. Murry","","","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"782180","occ","","","84268","","Stagonolepis wellesi","species","69073","recombined as","Calyptosuchus wellesi","","species","69072","Norian","","227","208.5","Murry and Long","1989","12930","Chordata","Reptilia","NO_ORDER_SPECIFIED","Stagonolepididae","Calyptosuchus","","","","","-109.808060","34.884724","","Jasper Forest Locality (SMU Loc. 232)","","","US","Arizona","Navajo","stated in text","seconds","small collection","Sec 8, T17N, R24E","gplates","101","mid","-37.63","10.38","scotese","133","mid","-52.44","10.44","seton","not computable using this model","","","","US","NPS","Chinle","","","bed","","","","","","","","","","approx. 15 ft (4.6 m) below base of Sonsela Mb.","""sandstone (lithic wacke; fine to coarse grained; poorly to well-lithified; poorly sorted; minor rose quartz, jasper and black chert); bones 'rotted', many in hematite concretions; dark gray 2.5 Y N4 to olive yellow 2.5 Y 5/6""","wackestone","fine,coarse,concretionary,hematitic,gray,green","lithified","cherty/siliceous","Y","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body,concretion","","","","","","","","","","","","","taxonomic","field collection","","","","","P. A. Murry","","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"782181","occ","","","84268","","Desmatosuchus haplocerus","species","159296","misspelling of, nomen dubium","Aetosauria","","unranked clade","38267","Norian","","227","208.5","Murry and Long","1989","12930","Chordata","Reptilia","","","","","","","","-109.808060","34.884724","","Jasper Forest Locality (SMU Loc. 232)","","","US","Arizona","Navajo","stated in text","seconds","small collection","Sec 8, T17N, R24E","gplates","101","mid","-37.63","10.38","scotese","133","mid","-52.44","10.44","seton","not computable using this model","","","","US","NPS","Chinle","","","bed","","","","","","","","","","approx. 15 ft (4.6 m) below base of Sonsela Mb.","""sandstone (lithic wacke; fine to coarse grained; poorly to well-lithified; poorly sorted; minor rose quartz, jasper and black chert); bones 'rotted', many in hematite concretions; dark gray 2.5 Y N4 to olive yellow 2.5 Y 5/6""","wackestone","fine,coarse,concretionary,hematitic,gray,green","lithified","cherty/siliceous","Y","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body,concretion","","","","","","","","","","","","","taxonomic","field collection","","","","","P. A. Murry","","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"782188","occ","","","84269","","Rutiodon sp.","genus","38299","","Rutiodon","","genus","38299","Norian","","227","208.5","Murry","1989","12932","Chordata","Reptilia","NO_ORDER_SPECIFIED","Parasuchidae","Rutiodon","","","","","-101.704170","34.955002","","Lower Sunday Canyon","","SMU Loc. 123","US","Texas","Randall","stated in text","seconds","outcrop","badlands along Sunday Creek, Fortress Cliff 7.5' quadrangle","gplates","101","mid","-30.98","9.29","scotese","101","mid","-41.79","9.56","seton","not computable using this model","","","","US","","Tecovas","Dockum","","bed","","","","","","","","","","lower fossiliferous level, ca. 3.4 m above Quartermaster Sandstone","reddish yellow unconsolidated shaley siltstone","siltstone","red,yellow","unlithified","argillaceous","Y","","","","","","delta plain","","""lacustrine and fan delta deposition""","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","bulk,sieve,field collection","","","","450 kg","","","","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"782189","occ","","","84269","","Desmatosuchus haplocerus","species","159296","misspelling of, nomen dubium","Aetosauria","","unranked clade","38267","Norian","","227","208.5","Murry","1989","12932","Chordata","Reptilia","","","","","","","","-101.704170","34.955002","","Lower Sunday Canyon","","SMU Loc. 123","US","Texas","Randall","stated in text","seconds","outcrop","badlands along Sunday Creek, Fortress Cliff 7.5' quadrangle","gplates","101","mid","-30.98","9.29","scotese","101","mid","-41.79","9.56","seton","not computable using this model","","","","US","","Tecovas","Dockum","","bed","","","","","","","","","","lower fossiliferous level, ca. 3.4 m above Quartermaster Sandstone","reddish yellow unconsolidated shaley siltstone","siltstone","red,yellow","unlithified","argillaceous","Y","","","","","","delta plain","","""lacustrine and fan delta deposition""","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","bulk,sieve,field collection","","","","450 kg","","","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"782208","occ","21142","","84272","","Redondasaurus sp.","genus","110224","subjective synonym of","Machaeroprosopus","","genus","69056","Norian","","227","208.5","Hunt and Lucas","1993","28078","Chordata","Reptilia","NO_ORDER_SPECIFIED","Parasuchidae","Machaeroprosopus","","","","","-103.458611","34.974445","","Red Peak locality (SMU Loc. 131)","","Saladito Creek","US","New Mexico","Quay","stated in text","seconds","outcrop","badlands along Saladito Creek, Apache Canyon 7.5' quadrangle; 2 localities; Hunt & Lucas 1993 give coordinates as 34° 57' 06"" N, 103° 26' 33"" W, close to Apache Canyon in eastern Quay Co. Gregory lists secs. 28 & 29, T9N, R33E.","gplates","101","mid","-32.42","9.53","scotese","101","mid","-43.24","9.73","seton","not computable using this model","","","","US","","Redonda","Chinle","","group of beds","","","","","","","","","","upper part of formation, two layers","""a greenish-gray siltstone and at the base of overlying grey-mottled red clay""","siltstone","gray,green","","","Y","claystone","gray,red","","","Y","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","bulk,sieve,field collection","","","","450 kg","J. Gregory, P. A. Murry","","","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
"782209","occ","21143","","84272","","Redondasuchus sp.","genus","156413","","Redondasuchus","","genus","156413","Norian","","227","208.5","Hunt and Lucas","1993","28078","Chordata","Reptilia","NO_ORDER_SPECIFIED","Stagonolepididae","Redondasuchus","","","","","-103.458611","34.974445","","Red Peak locality (SMU Loc. 131)","","Saladito Creek","US","New Mexico","Quay","stated in text","seconds","outcrop","badlands along Saladito Creek, Apache Canyon 7.5' quadrangle; 2 localities; Hunt & Lucas 1993 give coordinates as 34° 57' 06"" N, 103° 26' 33"" W, close to Apache Canyon in eastern Quay Co. Gregory lists secs. 28 & 29, T9N, R33E.","gplates","101","mid","-32.42","9.53","scotese","101","mid","-43.24","9.73","seton","not computable using this model","","","","US","","Redonda","Chinle","","group of beds","","","","","","","","","","upper part of formation, two layers","""a greenish-gray siltstone and at the base of overlying grey-mottled red clay""","siltstone","gray,green","","","Y","claystone","gray,red","","","Y","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","bulk,sieve,field collection","","","","450 kg","J. Gregory, P. A. Murry","","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"790005","occ","21209","","85485","","n. gen. Sierritasuchus n. sp. macalpini","species","138438","","Sierritasuchus macalpini","","species","138438","Carnian","Norian","237","208.5","Parker et al.","2008","28877","Chordata","Reptilia","NO_ORDER_SPECIFIED","Stagonolepididae","Sierritasuchus","","","1","specimens","-102.163528","35.361969","UMMP V60817","Sierrita de la Cruz Creek breaks","","","US","Texas","Potter","based on nearby landmark","6","small collection","breaks of Sierrita de la Cruz Creek, 1.5 km E of Rotten Hill, 37 km NE of Amarillo","gplates","101","mid","-30.70","10.57","scotese","101","mid","-41.48","8.98","seton","not computable using this model","","","","US","","Tecovas","Dockum","","bed","","","","","","","","","","latest Carnian or early Norian","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","good","","snapshot","","dispersed","","","","","","","","taxonomic","survey of museum collection","UMMP","","","","A. J. MacAlpin","1939","","","terrestrial","","actively mobile","","","herbivore","","","","phosphatic","","",""
"790082","occ","25304","","85500","","Poposauroidea indet.","superfamily","184418","","Poposauroidea","","superfamily","100737","Norian","Rhaetian","227","201.4","Niedzwiedzki et al.","2012","37175","Chordata","Reptilia","NO_ORDER_SPECIFIED","","","","","","","18.645279","50.678612","small","Lipie Slaskie clay-pit, Lisowice","","","PL","Slaskie","Lubliniecki","estimated from map","seconds","outcrop","northern part of the Lipie Slaskie clay-pit, Lisowice village, near town of Lubliniec, southern Poland. Coordinates based upon Google Earth coordinates for the claypit","gplates","305","mid","25.95","35.35","scotese","305","mid","15.34","37.85","seton","not computable using this model","","","","PL","","Zbaszynek Beds/Wielichowo Beds","","","group of beds","","","","","","","","","","""The strata exposed in the Lipie Slaskie clay-pit are correlatable with the upper part of the subsurface Zbaszynek Beds and lower part of the Wielichowo Beds (Late Triassic: latest Norian-early Rhaetian). These formations apparently continue into the Exter Formation of the Upper Keuper in the east German part of the Germanic Basin"" (Niedzwiedzki et al. 2011)","""a lenticular body of grey mudstone and claystone...[bones are] mostly covered with calcareous and pyritic crust or preserved within limestone concretions.""  Described later as ""greenish-grey.""","claystone","lenticular,concretionary,pyritic,gray,green","","muddy,calcareous","Y","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","some","","partial skeletons","","","","body","good","","snapshot","","concentrated","preferred","","","occasional","","","","general faunal/floral","salvage,selective quarrying,surface (float),mechanical,field collection","","","","","","","ZPAL: Institute of Paleobiology, Polish Academy of Sciences","","terrestrial","","actively mobile","","","carnivore","","","","phosphatic","","",""
