occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,plant_organ,plant_organ2,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,cc.1,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localbedunit,localorder,regionalsection,regionalbed,regionalbedunit,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement
735726,occ,NA,NA,72091,n. gen. Dibothrosuchus n. sp. elaphros,species,118240,,Dibothrosuchus elaphros,NA,species,118240,Sinemurian,,199.3,190.8,Simmons,1965,26534,Chordata,Reptilia,Loricata,NO_FAMILY_SPECIFIED,Dibothrosuchus,NA,NA,1,specimens,102.107323,25.172689,FMNH CUP 2081 - holotype,"Tati, Lufeng (CUP)",NA,"Ta Ti, Dadi; near Dawa village",CN,Yunnan,,based on nearby landmark,6,local area,"about 4 km NE of Lufeng city.  Multiple sites in area, but none specified aside from Tatisaurus.",gplates,611,mid,122.22,37.38,CN,,Lufeng,,Zhangjia'ao,bed,,,,,,,,NA,NA,"Tati sites supposedly from a single stratum within the ""Dark Red Beds""\r\nThe Lufeng Formation has been divided into lower dark/dull purple beds (= Shawan Member) and upper dark/deep red beds (= Zhangjiawa Member). Luo & Wu (1994: In the Shadow of the Dinosaurs, pp. 251–270) argue on the basis of vertebrate biostratigraphy for a probable Sinemurian age for the Zhangjiawa Member and a Hettangian age for the Shawan Member. ",,not reported,,,,,,,,,,terrestrial indet.,,,"macrofossils,mesofossils",,,,,,NA,,body,medium,,,,dispersed,,,,occasional,,,,general faunal/floral,"mechanical,survey of museum collection",FMNH,,,,E. Oehler,1948-1949,"Tatisaurus specified as from ""Locality No. 8"" but no other materials have such info.","FMNH type specimen of Fulengia youngi collected by ""Fr E Oehler, SVD in 1948 or 1949"" from ""Ta Ti... Dark Red Beds, Lower Lufeng series, Upper Triassic""",terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
735728,occ,27903,NA,72091,Crocodyliformes undescribed new species informal,species,53400,species not entered,Crocodyliformes,NA,suborder,53400,Sinemurian,,199.3,190.8,Wu and Sues,1996,43947,Chordata,Reptilia,Loricata,,,NA,NA,3,specimens,102.107323,25.172689,"FMNH CUP 2083, 2104, 2105","Tati, Lufeng (CUP)",NA,"Ta Ti, Dadi; near Dawa village",CN,Yunnan,,based on nearby landmark,6,local area,"about 4 km NE of Lufeng city.  Multiple sites in area, but none specified aside from Tatisaurus.",gplates,611,mid,122.22,37.38,CN,,Lufeng,,Zhangjia'ao,bed,,,,,,,,NA,NA,"Tati sites supposedly from a single stratum within the ""Dark Red Beds""\r\nThe Lufeng Formation has been divided into lower dark/dull purple beds (= Shawan Member) and upper dark/deep red beds (= Zhangjiawa Member). Luo & Wu (1994: In the Shadow of the Dinosaurs, pp. 251–270) argue on the basis of vertebrate biostratigraphy for a probable Sinemurian age for the Zhangjiawa Member and a Hettangian age for the Shawan Member. ",,not reported,,,,,,,,,,terrestrial indet.,,,"macrofossils,mesofossils",,,,,,NA,,body,medium,,,,dispersed,,,,occasional,,,,general faunal/floral,"mechanical,survey of museum collection",FMNH,,,,E. Oehler,1948-1949,"Tatisaurus specified as from ""Locality No. 8"" but no other materials have such info.","FMNH type specimen of Fulengia youngi collected by ""Fr E Oehler, SVD in 1948 or 1949"" from ""Ta Ti... Dark Red Beds, Lower Lufeng series, Upper Triassic""",terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
735729,occ,NA,NA,72091,Pseudosuchia indet.,unranked clade,54991,,Pseudosuchia,NA,unranked clade,54991,Sinemurian,,199.3,190.8,Simmons,1965,26534,Chordata,Reptilia,,,,NA,NA,1,specimens,102.107323,25.172689,FMNH CUP 2084,"Tati, Lufeng (CUP)",NA,"Ta Ti, Dadi; near Dawa village",CN,Yunnan,,based on nearby landmark,6,local area,"about 4 km NE of Lufeng city.  Multiple sites in area, but none specified aside from Tatisaurus.",gplates,611,mid,122.22,37.38,CN,,Lufeng,,Zhangjia'ao,bed,,,,,,,,NA,NA,"Tati sites supposedly from a single stratum within the ""Dark Red Beds""\r\nThe Lufeng Formation has been divided into lower dark/dull purple beds (= Shawan Member) and upper dark/deep red beds (= Zhangjiawa Member). Luo & Wu (1994: In the Shadow of the Dinosaurs, pp. 251–270) argue on the basis of vertebrate biostratigraphy for a probable Sinemurian age for the Zhangjiawa Member and a Hettangian age for the Shawan Member. ",,not reported,,,,,,,,,,terrestrial indet.,,,"macrofossils,mesofossils",,,,,,NA,,body,medium,,,,dispersed,,,,occasional,,,,general faunal/floral,"mechanical,survey of museum collection",FMNH,,,,E. Oehler,1948-1949,"Tatisaurus specified as from ""Locality No. 8"" but no other materials have such info.","FMNH type specimen of Fulengia youngi collected by ""Fr E Oehler, SVD in 1948 or 1949"" from ""Ta Ti... Dark Red Beds, Lower Lufeng series, Upper Triassic""",terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
735730,occ,23645,NA,72091,Crocodyliformes indet.,suborder,53400,,Crocodyliformes,NA,suborder,53400,Sinemurian,,199.3,190.8,Luo and Wu,1994,34570,Chordata,Reptilia,Loricata,,,NA,NA,3,specimens,102.107323,25.172689,"FMNH CUP 2085, 2086, 2087","Tati, Lufeng (CUP)",NA,"Ta Ti, Dadi; near Dawa village",CN,Yunnan,,based on nearby landmark,6,local area,"about 4 km NE of Lufeng city.  Multiple sites in area, but none specified aside from Tatisaurus.",gplates,611,mid,122.22,37.38,CN,,Lufeng,,Zhangjia'ao,bed,,,,,,,,NA,NA,"Tati sites supposedly from a single stratum within the ""Dark Red Beds""\r\nThe Lufeng Formation has been divided into lower dark/dull purple beds (= Shawan Member) and upper dark/deep red beds (= Zhangjiawa Member). Luo & Wu (1994: In the Shadow of the Dinosaurs, pp. 251–270) argue on the basis of vertebrate biostratigraphy for a probable Sinemurian age for the Zhangjiawa Member and a Hettangian age for the Shawan Member. ",,not reported,,,,,,,,,,terrestrial indet.,,,"macrofossils,mesofossils",,,,,,NA,,body,medium,,,,dispersed,,,,occasional,,,,general faunal/floral,"mechanical,survey of museum collection",FMNH,,,,E. Oehler,1948-1949,"Tatisaurus specified as from ""Locality No. 8"" but no other materials have such info.","FMNH type specimen of Fulengia youngi collected by ""Fr E Oehler, SVD in 1948 or 1949"" from ""Ta Ti... Dark Red Beds, Lower Lufeng series, Upper Triassic""",terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
735800,occ,NA,NA,78993,Lukousaurus yini,species,64286,,Lukousaurus yini,NA,species,64286,Sinemurian,,199.3,190.8,Simmons,1965,26534,Chordata,Reptilia,Loricata,NO_FAMILY_SPECIFIED,Lukousaurus,NA,NA,1,specimens,102.107323,25.172689,FMNH CUP 2092,"Hei Koa Peng, Lufeng (CUP, IVPP)",NA,"Heikoupeng, Heigoupeng",CN,Yunnan,,based on nearby landmark,6,local area,"Hei Koa Peng/Heikuopeng, near Ta Ti, NE of Lufeng city.  Multiple sites in area, but none specified.",gplates,611,mid,122.22,37.38,CN,,Lufeng,,Zhangjia'ao,group of beds,,,,,,,,NA,NA,"Sites reported by Simmons supposedly from a single stratum within the ""Dark Red Beds"", just below the Ta Ti layer.\r\nThe Lufeng Formation has been divided into lower dark/dull purple beds (= Shawan Member) and upper dark/deep red beds (= Zhangjiawa Member). Luo & Wu (1994: In the Shadow of the Dinosaurs, pp. 251–270) argue on the basis of vertebrate biostratigraphy for a probable Sinemurian age for the Zhangjiawa Member and a Hettangian age for the Shawan Member. ",,not reported,,,,,,,,,,terrestrial indet.,,,"macrofossils,mesofossils",,,,,,NA,,body,medium,,,,dispersed,,,,occasional,,,,general faunal/floral,"mechanical,field collection,survey of museum collection","FMNH,IVPP",,,,"E. Oehler, Hu, IVPP",,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
738862,occ,NA,NA,79374,Poposaurus gracilis,species,69076,,Poposaurus gracilis,NA,species,69076,Carnian,,237,228,Weinbaum and Hungerbühler,2007,26613,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Poposaurus,NA,NA,1,individuals,-101.168892,33.449165,TTUP-10419,"MOTTU site 0690, McCarty Ranch",NA,Kalgary,US,Texas,Crosby,based on nearby landmark,seconds,outcrop,"MOTTU site 0690, McCarty Ranch, near Kalgary",gplates,101,mid,-28.78,11.43,US,,Tecovas,Chinle,,bed,,,,,,,,NA,NA,,,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,good,,,,,,,,,,,,taxonomic,field collection,,,,,,,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
745284,occ,NA,NA,79951,n. gen. Compsosaurus n. sp. priscus,species,120560,nomen dubium,Phytosauria,NA,unranked clade,38292,Norian,,228,208.5,Leidy,1856,26876,Chordata,Reptilia,,,,NA,NA,1,specimens,-79.323334,36.489723,,Dan River,NA,,US,North Carolina,Chatham,estimated from map,seconds,local area,Dan River region,gplates,109,mid,-12.54,9.8,US,,Cumnock,Chatham,,group of beds,,,,,,,,NA,NA,,,coal,,,,Y,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,general faunal/floral,"field collection,survey of museum collection",,,,,J. Leidy,,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
755351,occ,NA,NA,22704,Rauisuchia ? indet.,unranked clade,38248,invalid subgroup of,Suchia,NA,unranked clade,66478,Carnian,Norian,237,208.5,Heckert,2004,17273,Chordata,Reptilia,,,,NA,NA,1,specimens,-101.247223,32.172222,NMMNH P-34015,"Otis Chalk Quarry 1, SMU Loc. 122, TMM 31025",NA,"Trilophosaurus Quarry 1, NMMNH L-860, WPA, Work Project No. 13352",US,Texas,Howard,stated in text,seconds,small collection,"SW corner of Section 58, block 29, Waco and Northeastern Railroad. Near Otis Chalk, 25 km southeast of Big Spring, Howard County, West Texas.; about 200 m from Quarry 2 and 1 mi. NNE of Quarry 3",gplates,101,mid,-30.51,7.29,US,,Colorado City,Dockum,,bed,,,,,,,,NA,NA,variously referred to the Iatan or Colorado City of the Dockum Group; low in formation; lower level than Quarry 1,"""red, green, purple and yellowish smectitic mudstones with minor concretions encrusting many of the bones""\r\n""Here the vertebrate fossils occur in a 30 cm-thick red mudstone.""",mudstone,"concretionary,green,red,yellow,blue",,,Y,mudstone,paleosol/pedogenic,,calcareous,,crevasse splay,,"""an overbank or crevasse splay deposit...[in] a floodplain environment that experienced moderate pedogenic modification""","macrofossils,mesofossils",,,,,,NA,,body,good,,snapshot,concentrate,-single event,,,,occasional,,,,taphonomic,"bulk,selective quarrying,surface (float),surface (in situ),mechanical,sieve,field collection","NMMNH,TMM",,,4500 kg,WPA,1939–1941,,"1940 report: ""To date the fauna has resisted all efforts at Identification, and beyond the statement that probably all the fauna is at least rare or mostly undescribed, nothing can be said.""",terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
755352,occ,NA,NA,22704,Paleorhinus bransoni,species,58929,recombined as,Parasuchus bransoni,NA,species,58929,Carnian,Norian,237,208.5,Long and Murry,1995,14122,Chordata,Reptilia,NO_ORDER_SPECIFIED,Parasuchidae,Parasuchus,NA,NA,1,specimens,-101.247223,32.172222,"TMM 31025-172, skull","Otis Chalk Quarry 1, SMU Loc. 122, TMM 31025",NA,"Trilophosaurus Quarry 1, NMMNH L-860, WPA, Work Project No. 13352",US,Texas,Howard,stated in text,seconds,small collection,"SW corner of Section 58, block 29, Waco and Northeastern Railroad. Near Otis Chalk, 25 km southeast of Big Spring, Howard County, West Texas.; about 200 m from Quarry 2 and 1 mi. NNE of Quarry 3",gplates,101,mid,-30.51,7.29,US,,Colorado City,Dockum,,bed,,,,,,,,NA,NA,variously referred to the Iatan or Colorado City of the Dockum Group; low in formation; lower level than Quarry 1,"""red, green, purple and yellowish smectitic mudstones with minor concretions encrusting many of the bones""\r\n""Here the vertebrate fossils occur in a 30 cm-thick red mudstone.""",mudstone,"concretionary,green,red,yellow,blue",,,Y,mudstone,paleosol/pedogenic,,calcareous,,crevasse splay,,"""an overbank or crevasse splay deposit...[in] a floodplain environment that experienced moderate pedogenic modification""","macrofossils,mesofossils",,,,,,NA,,body,good,,snapshot,concentrate,-single event,,,,occasional,,,,taphonomic,"bulk,selective quarrying,surface (float),surface (in situ),mechanical,sieve,field collection","NMMNH,TMM",,,4500 kg,WPA,1939–1941,,"1940 report: ""To date the fauna has resisted all efforts at Identification, and beyond the statement that probably all the fauna is at least rare or mostly undescribed, nothing can be said.""",terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
755689,occ,NA,NA,80913,Phytosauridae indet.,unranked clade,38293,replaced by,Mystriosuchinae,NA,subfamily,159225,Late Triassic,,237,201.3,Hunt and Lucas,1993,28078,Chordata,Reptilia,NO_ORDER_SPECIFIED,Parasuchidae,,NA,NA,NA,,-106.778336,34.579445,,"Ojo Huelos Spring, NMMNH L-354",NA,Hubble Bench,US,New Mexico,Valencia,stated in text,seconds,small collection,"vicinity of Ojo Huelos Spring, Tome quad, Valencia county",gplates,101,mid,-35.1,9.76,US,,San Pedro Arroyo,Chinle,Ojo Huelos,group of beds,,,,,,,,NA,NA,"three separate beds; given as late Carnian (Adamanian LVF) but is correlated with the Bluewater Creek Member of Arizona, suggesting that it might be Norian in age. ","""The fossiliferous horizons are, in ascending order, a mottled, dark yellowish-orange to yellowish-brown pisolitic limestone (A), a yellowish-gray sandy mudstone with thin limestone ledges (B), and a dusky yellow to light gray pisolitic limestone (C).""",mudstone,"gray,yellow",,sandy,Y,"""limestone""","gray,yellow",,,Y,lacustrine indet.,,"""clastic sediment-starved lacustrine deposits"" with no evidence of pedogenesis","macrofossils,mesofossils,microfossils",,,,,,NA,,body,good,,,concentrate,concentrated,,,,occasional,,,,general faunal/floral,"bulk,sieve,field collection,survey of museum collection",NMMNH,,,250 kg,"S. Lucas, K. Kietzke, A. Heckert",,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
755823,occ,NA,NA,80925,n. gen. Typothorax n. sp. coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Cope,1875,53227,Chordata,Reptilia,NO_ORDER_SPECIFIED,Stagonolepididae,Typothorax,NA,NA,1,individuals,-106.814056,36.264759,"USNM 2585 (lectotype), fragments of dermal plates. NMMNH P-18197, 18199, 18201, plate fragments ","Cerro Blanco, NMMNH L-918",NA,"Typothorax type, Gallina, Wheeler Expedition",US,New Mexico,Rio Arriba,stated in text,5,small collection,"NE 1/4, sec 4, T23N, R1E; Cerro Blanco, near Gallina",gplates,101,mid,-34.93,11.26,US,FED,Chinle,,Petrified Forest,bed,,,,,,,,NA,NA,"also Painted Desert Mb., Petrified Forest Fm., Chinle Gp.","""sandstone and clay-pebble conglomerate: dusky red (5 R 3/4) to moderate yellow green (5 GY 7/4); sandstone is same lithology as unit 3; very calcareous; conglomerate clasts are calcrete, highly calcareous; conglomerate has crude trough crossbeds...""",conglomerate,"""cross stratification"",flat-pebble,green,red",,calcareous,Y,sandstone,"very fine,green,red",,calcareous,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,dispersed,,,,,,,,taxonomic,"field collection,survey of museum collection","NMMNH,USNM",,,,E. D. Cope,1874,Cope accompanied Wheeler Expedition,,terrestrial,NA,actively mobile,,NA,herbivore,NA,NA,NA,phosphatic,NA,NA,NA
755824,occ,39532,NA,80926,Pseudopalatus buceros,species,69068,recombined as,Machaeroprosopus buceros,NA,species,69065,Norian,,228,208.5,Zeigler et al.,2005,80962,Chordata,Reptilia,NO_ORDER_SPECIFIED,Parasuchidae,Machaeroprosopus,NA,NA,NA,,-106.6241,36.2118,,"Coyote Amphitheater, NMMNH L-911",NA,,US,New Mexico,Rio Arriba,stated in text,4,local area,"Coyote Amphitheater; NW 1/4, sec 21, T23N, R3E",gplates,101,mid,-34.79,11.18,US,FED,Petrified Forest,Chinle,Mesa Montosa,bed,,,,,,,,NA,NA,,"""Siltstone and conglomerate: siltstone is moderate brown (5 YR 4/4), very calcareous and ripple laminar; conglomerate is brownish gray (5 Y$ 4/1) with clasts of mudstone and siltstone up to 1 cm in diameter...""",siltstone,"""cross stratification"",brown",,calcareous,,conglomerate,"intraclastic,brown",,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,taxonomic,field collection,NMMNH,,,,,,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
755825,occ,38982,NA,80926,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Heckert et al.,2005,31961,Chordata,Reptilia,NO_ORDER_SPECIFIED,Stagonolepididae,Typothorax,NA,NA,NA,,-106.6241,36.2118,,"Coyote Amphitheater, NMMNH L-911",NA,,US,New Mexico,Rio Arriba,stated in text,4,local area,"Coyote Amphitheater; NW 1/4, sec 21, T23N, R3E",gplates,101,mid,-34.79,11.18,US,FED,Petrified Forest,Chinle,Mesa Montosa,bed,,,,,,,,NA,NA,,"""Siltstone and conglomerate: siltstone is moderate brown (5 YR 4/4), very calcareous and ripple laminar; conglomerate is brownish gray (5 Y$ 4/1) with clasts of mudstone and siltstone up to 1 cm in diameter...""",siltstone,"""cross stratification"",brown",,calcareous,,conglomerate,"intraclastic,brown",,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,taxonomic,field collection,NMMNH,,,,,,,,terrestrial,NA,actively mobile,,NA,herbivore,NA,NA,NA,phosphatic,NA,NA,NA
755830,occ,22858,NA,62311,Stagonolepididae ? indet.,unranked clade,156406,,Stagonolepididae,NA,unranked clade,64937,Lacian,Sevatian,221.5,205.6,Heckert and Jenkins,2005,31993,Chordata,Reptilia,,Stagonolepididae,,NA,NA,1,specimens,-106.473053,36.331669,"NMMNH P-36067, tooth","Snyder Quarry, NMMNH 3845-1",NA,,US,New Mexico,Rio Arriba,based on nearby landmark,seconds,small collection,"near Ghost Ranch, N-central New Mexico",gplates,101,mid,-35.12,10.64,US,FED,Chinle,,Petrified Forest,bed,,Chinle-NMex,15,m,bottom to top,,,NA,NA,early-mid Norian = Revueltian,"a ""mudstone-pebble conglomerate"" and an overlying ""sandstone-wacke""",mudstone,pebbly,,conglomeratic,Y,wackestone,,,,Y,crevasse splay,,,"macrofossils,mesofossils",some,some,,,tooth marks,NA,,body,good,parautochthonous,snapshot,,-bonebed,preferred,common,,occasional,,,"low-velocity flood event that scoured underlying floodplain, but little overall transport of bones and wood; fire-damaged wood suggests some degree of exaggeration of flood effects due to fire",taxonomic,"bulk,selective quarrying,mechanical,sieve,field collection",NMMNH,,,,"S. Fowler, M. Snyder, A. Heckert, K. Ziegler",1995-2001,,,terrestrial,NA,actively mobile,,NA,herbivore,NA,NA,NA,phosphatic,NA,NA,NA
773671,occ,NA,NA,82991,Paleorhinus cf. arenaceus,species,58928,"subjective synonym of, species not entered",Parasuchus,NA,genus,38298,Carnian,Norian,237,208.5,Dzik and Sulej,2007,27876,Chordata,Reptilia,NO_ORDER_SPECIFIED,Parasuchidae,Parasuchus,NA,NA,1,specimens,18.271389,50.664165,"""Paleorhinus cf. arenaceus""",Krasiejów locality (isolated Paleorhinus),NA,,PL,Opole,,estimated from map,seconds,small collection,"Krasiejów, Opole Silesian region; in a clay pit belonging to the nearby Strzelce Opolskie cement plant",gplates,305,mid,27.93,33.11,PL,,Drawno Beds,,,bed,,Krasiejów,0,m,bottom to top,,,NA,NA,"Specimen found near bottom of claypit, 8 metres below the main bone horizon at Krasiejów. \r\nDating of the Krasiejów assemblage has been based largely upon conchostracans and vertebrates (Dzik & Sulej 2007), which have been used to propose biostratigraphic correlations to the Hassberge (= Coburg Sandstone and Blasensandstein) and Weser formations (late Carnian) of the lower Middle Keuper of Germany. However, lithostratigraphic correlations to the Arnstadt Formation of Germany have been used to suggest an alternative, younger, early Norian age (e.g. Szulc 2005: Hallesches Jahrb. Geowiss. B 19:161-170).",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,taxonomic,"selective quarrying,field collection",,,,,,,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
773672,occ,23018,NA,82992,Stagonolepis olenkae,species,165244,,Stagonolepis olenkae,NA,species,165244,Carnian,Norian,237,208.5,Sulej,2010,32374,Chordata,Reptilia,NO_ORDER_SPECIFIED,Stagonolepididae,Stagonolepis,NA,NA,1,individuals,18.271389,50.664165,Disarticulated specimen,Krasiejów locality (isolated Stagonolepis),NA,,PL,Opole,,estimated from map,seconds,small collection,"Krasiejów, Opole Silesian region; in a clay pit belonging to the nearby Strzelce Opolskie cement plant",gplates,305,mid,27.93,33.11,PL,,Drawno Beds,,,,,,,,,,,NA,NA,"Collection is a ""few metres"" above an isolated phytosaur specimen (collection number 82991). \r\nDating of the Krasiejów assemblage has been based largely upon conchostracans and vertebrates (Dzik & Sulej 2007), which have been used to propose biostratigraphic correlations to the Hassberge (= Coburg Sandstone and Blasensandstein) and Weser formations (late Carnian) of the lower Middle Keuper of Germany. However, lithostratigraphic correlations to the Arnstadt Formation of Germany have been used to suggest an alternative, younger, early Norian age (e.g. Szulc 2005: Hallesches Jahrb. Geowiss. B 19:161-170).",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,NA,,body,,,,,,,,,,,,,taxonomic,"selective quarrying,field collection",,,,,K. Ksikiewicz,,,,terrestrial,NA,actively mobile,,NA,herbivore,NA,NA,NA,phosphatic,NA,NA,NA
778599,occ,NA,NA,52168,Brachychirotherium eyermani,species,131581,,Brachychirotherium eyermani,NA,species,64086,Norian,,228,208.5,Hunt and Lucas,2007,27985,Chordata,Reptilia,NO_ORDER_SPECIFIED,Chirotheriidae,Brachychirotherium,NA,NA,2,specimens,-103.639397,34.976601,,Mesa Redonda tracksite [general],NA,,US,New Mexico,Quay,stated in text,4,small collection,"SW 1/4, NW 1/4 and NW 1/4, SW 1/4, of sec. 27, T9N, R31E; NE corner of Mesa Redonda. General locality for early collections of tracks from extensive outcrops in this area.",gplates,101,mid,-32.57,9.55,US,,Redonda,Chinle,San Jon Creek,group of beds,,,,,,,,NA,NA,"""Apachean""; 14 m below contact between Redonda Fm. and overlying Entrada Sandstone.","There are two beds of tracks in limestones that contain abundant fine-grained subangular quartz and a few oolites. A third bed contianed a track found atop a siltstone. Bed is ""quartzose, fine-grained, and very calcareous. It is light olive-gray unweathered, weathers to grayish green and pale yellowish brown, and is intensively bioturbated (massive).""","""limestone""","massive,bioturbation,fine,quartzose,gray,green",,calcareous,Y,siltstone,,,,Y,lacustrine indet.,,,macrofossils,,,,,,NA,,"cast,mold/impression,trace",,autochthonous,,,,life position,,,,,,,general faunal/floral,"selective quarrying,surface (in situ),field collection","NMMNH,ROM,UMMP",,,,R. Abercrombie,1934,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
778900,occ,NA,NA,83736,Phytosauridae indet.,unranked clade,38293,replaced by,Mystriosuchinae,NA,subfamily,159225,Carnian,,237,228,Hunt and Lucas,1993,28078,Chordata,Reptilia,NO_ORDER_SPECIFIED,Parasuchidae,,NA,NA,NA,,-105.793999,35.2374,,"Lamy microvertebrate locality, NMMNH Loc. 1171",NA,NMMNH L-1171,US,New Mexico,Santa Fe,based on nearby landmark,4,outcrop,"NE 1/4, NE 1/4, SW 1/4, sec 29, T12N, R11E",gplates,101,mid,-32.14,14.08,US,,Santa Rosa,,Los Esteros,bed,,,,,,,,NA,NA,Adamanian,,not reported,,,,,,,,,,crevasse splay,,"""overbank deposit""",mesofossils,,,,,,NA,,body,,,,concentrate,concentrated,,abundant,,,,,,paleoecologic,"bulk,sieve,field collection",NMMNH,,,200 kg,,,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
778904,occ,NA,NA,48516,Rauisuchidae indet.,unranked clade,38249,,Rauisuchidae,NA,unranked clade,38249,Norian,,228,208.5,Hunt,2001,32312,Chordata,Reptilia,Loricata,Rauisuchidae,,NA,NA,12,specimens,-103.379997,35.365276,,"NMMNH Loc. 001, Revuelto Creek",NA,,US,New Mexico,Quay,stated in text,seconds,outcrop,"along Revuelto Creek, S of highway and railroad crossings 5 mi. W of San Jon, Quay Co., NM. NE 1/4, NE 1/4, SE 1/4, sec ?, T10N, R33E. [Gregory lists secs. 10, 14, 15.]",gplates,101,mid,-32.29,9.9,US,,Bull Canyon,Dockum,,bed,,,,,,,,NA,NA,,,sandstone,,,,Y,,,,,,fine channel fill,,"""low energy channel infilling""",mesofossils,,,,,,NA,,"body,trace",,,,concentrate,concentrated,,,,occasional,,,coprolites the most abundant fossil,taxonomic,"bulk,sieve,field collection",NMMNH,,,6000 kg,J. Gregory,,,,terrestrial,NA,actively mobile,,NA,carnivore,NA,NA,NA,phosphatic,NA,NA,NA
778905,occ,NA,NA,48516,Typothorax coccinarum,species,64940,,Typothorax coccinarum,NA,species,64940,Norian,,228,208.5,Hunt,2001,32312,Chordata,Reptilia,NO_ORDER_SPECIFIED,Stagonolepididae,Typothorax,NA,NA,18,specimens,-103.379997,35.365276,,"NMMNH Loc. 001, Revuelto Creek",NA,,US,New Mexico,Quay,stated in text,seconds,outcrop,"along Revuelto Creek, S of highway and railroad crossings 5 mi. W of San Jon, Quay Co., NM. NE 1/4, NE 1/4, SE 1/4, sec ?, T10N, R33E. [Gregory lists secs. 10, 14, 15.]",gplates,101,mid,-32.29,9.9,US,,Bull Canyon,Dockum,,bed,,,,,,,,NA,NA,,,sandstone,,,,Y,,,,,,fine channel fill,,"""low energy channel infilling""",mesofossils,,,,,,NA,,"body,trace",,,,concentrate,concentrated,,,,occasional,,,coprolites the most abundant fossil,taxonomic,"bulk,sieve,field collection",NMMNH,,,6000 kg,J. Gregory,,,,terrestrial,NA,actively mobile,,NA,herbivore,NA,NA,NA,phosphatic,NA,NA,NA
